time,Infection rate,Recovery Rate,Standard_Deviation,Skewness,Kurtosis
101,85,8779,42.079686310617355,-0.3599532925151335,-1.8819355681684466
101,72,8953,42.34737299998608,0.3981141073409086,-1.6938282100236854
101,75,9099,31.011288267338145,1.1617930499354003,0.3362772560709857
101,69,9210,17.082154430865568,1.627942964971288,2.5118394912149626
101,62,9295,8.443932733030097,0.47238412831483706,0.9669551054600246
101,55,9367,8.080841540330772,-0.7061111650855312,-0.8424540757737317
101,48,9442,10.75639344761682,-0.09015562293209978,-1.32792838152134
101,39,9511,11.717508267542721,-0.17938681575704243,-0.8971428480507188
101,17,9573,17.426990560619725,-1.0478449279335513,0.9757790239119318
101,13,9628,18.649396773084273,-0.23856582265287615,-2.666525248163032
101,6,9676,17.98054504179234,0.5278413599761971,-2.2123795084502675
101,7,9715,13.408952233486424,1.6502348226542924,2.8464515634105823
101,0,9732,6.580273550538622,0.029481355079273318,-0.7490039415645905
101,0,9745,5.449770637367881,0.5140302203059108,-0.6669387477468286
101,0,9751,3.577708763987968,0.652914380148864,-3.0749511718749925
101,0,9758,3.1304951684862803,2.2360679774997894,5.0
101,0,9758,0.0,,
101,0,9758,0.0,,
101,0,9758,0.0,,
101,0,9758,0.0,,
101,0,9758,0.0,,
101,0,9758,0.0,,
101,0,9758,0.0,,
101,0,9758,0.0,,
101,0,9758,0.0,,
101,0,9758,0.0,,
101,0,9758,0.0,,
101,0,9758,0.0,,
101,0,9758,0.0,,
101,0,9758,0.0,,
101,0,9758,0.0,,
101,0,9758,0.0,,
101,0,9758,0.0,,
101,0,9758,0.0,,
101,0,9758,0.0,,
101,0,9758,0.0,,
101,0,9758,0.0,,
101,0,9758,0.0,,
101,0,9758,0.0,,
